chang|x|y|end_x|end_y|lineJoin|color
Chặng 1|10.76015786|106.7130549|1.357929489|103.8531614|round|yellow
Chặng 1|1.357929489|103.8531614|6.930013148|79.86581482|round|yellow
Chặng 1|6.930013148|79.86581482|31.26918291|32.30027246|round|yellow
Chặng 1|31.26918291|32.30027246|43.30025191|5.403296853|round|yellow
Chặng 1|43.30025191|5.403296853|51.18006257|0.06650529|round|yellow
Chặng 1|51.18006257|0.06650529|42.31979227|-11.33875056|round|yellow
Chặng 2|42.31979227|-11.33875056|36.03769768|-5.769293148||red
Chặng 2|36.03769768|-5.769293148|42.97758695|7.225670438||red
Chặng 2|42.97758695|7.225670438|31.26918291|32.30027246||red
Chặng 2|31.26918291|32.30027246|12.653574|43.18692376||red
Chặng 2|12.653574|43.18692376|11.98181936|51.57548924||red
Chặng 2|11.98181936|51.57548924|-6.344218281|40.16153925||red
Chặng 2|-6.344218281|40.16153925|-21.12602602|55.49473681||red
Chặng 2|-21.12602602|55.49473681|-34.79298733|19.93226512||red
Chặng 2|-34.79298733|19.93226512|-11.2069457|13.4187105||red
Chặng 2|-11.2069457|13.4187105|-5.300760594|12.06172021||red
Chặng 2|-5.300760594|12.06172021|5.89900045|6.000495558||red
Chặng 2|5.89900045|6.000495558|5.268746382|-0.874923446||red
Chặng 2|5.268746382|-0.874923446|5.358823625|-5.036361265||red
Chặng 2|5.358823625|-5.036361265|14.70155831|-17.15881043||red
Chặng 2|14.70155831|-17.15881043|28.13599851|-17.33974229||red
Chặng 2|28.13599851|-17.33974229|36.09337149|-5.669623188||red
Chặng 2|36.09337149|-5.669623188|46.10978393|3.081713068|round|red
Chặng 3|46.10978393|3.081713068|14.66448111|-61.02894058|round|blue
Chặng 3|14.66448111|-61.02894058|-32.65144542|-55.79774859|round|blue
Chặng 3|-32.65144542|-55.79774859|-35.63281389|-65.15362083|round|blue
Chặng 3|-35.63281389|-65.15362083|41.03613412|-74.25619418|round|blue
Chặng 3|41.03613412|-74.25619418|52.27257545|-1.256489495|round|blue
Chặng 3|52.27257545|-1.256489495|53.61072592|0.088202539|round|blue
Chặng 3|53.61072592|0.088202539|48.11266073|1.953403164|round|blue
Chặng 4|48.11266073|1.953403164|52.98073919|10.27490072|round|green
Chặng 4|52.98073919|10.27490072|52.13106876|5.837655308||green
Chặng 4|52.13106876|5.837655308|61.4574923|29.98584211|round|green
Chặng 4|61.4574923|29.98584211|57.21514505|37.36140671||green
Chặng 4|57.21514505|37.36140671|55.74733126|37.63769835||green
Chặng 5|55.74733126|37.63769835|54.20240278|46.25393584||purple
Chặng 5|54.20240278|46.25393584|54.71791176|57.78341533||purple
Chặng 5|54.71791176|57.78341533|54.98935728|82.92602308||purple
Chặng 5|54.98935728|82.92602308|52.35070112|104.2869061||purple
Chặng 5|52.35070112|104.2869061|54.61788093|125.2965042||purple
Chặng 5|54.61788093|125.2965042|48.5440523|135.0334595||purple
Chặng 5|48.5440523|135.0334595|43.20973854|131.7790281||purple
Chặng 5|43.20973854|131.7790281|24.03631978|113.3036013|round|purple
Chặng 5|24.03631978|113.3036013|23.16249109|113.2605731||purple
Chặng 5|23.16249109|113.2605731|55.8245495|37.61023253|round|purple
Chặng 6|55.8245495|37.61023253|48.85769837|2.345375908||olive
Chặng 6|48.85769837|2.345375908|50.88251337|4.253732328||olive
Chặng 6|50.88251337|4.253732328|51.1900234|10.61853674||olive
Chặng 6|51.1900234|10.61853674|14.5843483|100.5044033||olive
Chặng 6|14.5843483|100.5044033|23.38295181|114.0859294|round|olive
Chặng 7|23.38295181|114.0859294|16.70009717|100.9455209|round|blueviolet
Chặng 7|16.70009717|100.9455209|5.0933829|102.0354506|round|blueviolet
Chặng 7|5.0933829|102.0354506|23.86609756|113.9101482|round|blueviolet
Chặng 7|23.86609756|113.9101482|2.920598266|103.6192613|round|blueviolet
Chặng 7|2.920598266|103.6192613|23.86609756|113.9101482|round|blueviolet
Chặng 7|23.86609756|113.9101482|25.8699271|118.1658787|round|blueviolet
Chặng 7|25.8699271|118.1658787|32.49414101|121.6528128|round|blueviolet
Chặng 7|32.49414101|121.6528128|44.41970013|131.8725336|round|blueviolet
Chặng 8|44.41970013|131.8725336|37.09975734|103.9018353|round|brown
Chặng 9|37.09975734|103.9018353|23.56776757|108.2861632||coral
Chặng 10|23.56776757|108.2861632|56.41073489|44.00160054||coral
Chặng 10|56.41073489|44.00160054|55.84731902|49.10555843||coral
Chặng 10|55.84731902|49.10555843|56.87739928|60.62397118||coral
Chặng 10|56.87739928|60.62397118|55.03878941|73.36297446||coral
Chặng 10|55.03878941|73.36297446|54.99014517|82.8779579||coral
Chặng 10|54.99014517|82.8779579|43.83534078|87.52342574||coral
Chặng 10|43.83534078|87.52342574|36.16431659|103.8529762||coral
Chặng 10|36.16431659|103.8529762|34.33418611|108.9393155||coral
Chặng 10|34.33418611|108.9393155|37.95514101|112.6177431||coral
Chặng 10|37.95514101|112.6177431|25.28122603|110.2939993||coral
Chặng 10|25.28122603|110.2939993|26.90238738|112.5742834||coral
Chặng 10|26.90238738|112.5742834|26.65368628|106.6367202||coral
Chặng 10|26.65368628|106.6367202|29.65254796|106.4991139||coral
Chặng 10|29.65254796|106.4991139|24.89183505|102.8193143||coral
Chặng 10|24.89183505|102.8193143|22.34425462|106.8604319||coral
Chặng 10|22.34425462|106.8604319|23.13680846|106.4100225||coral
Chặng 10|23.13680846|106.4100225|24.03862841|106.2328085||coral
Chặng 10|24.03862841|106.2328085|22.98806657|106.0505748||coral
Chặng 10|22.98806657|106.0505748|0|0||coral
